,Code_postal,revenu_fiscal_moyen
0,1000.0,22960.719046752776
1,1090.0,31484.66912722536
2,1100.0,24389.967820279297
3,1110.0,24012.573269823482
4,1120.0,29575.61631111565
5,1130.0,24631.16751952599
6,1140.0,25263.014845360824
7,1150.0,27380.858490566046
8,1160.0,26948.350678312578
9,1170.0,49349.471275487434
10,1190.0,23350.653684210523
11,1200.0,29995.654827868108
12,1210.0,41883.02260938955
13,1220.0,64980.02719343252
14,1230.0,19859.582407113372
15,1240.0,27748.094513715714
16,1250.0,30103.036999321113
17,1260.0,23718.65073170732
18,1270.0,24133.411121239744
19,1280.0,58321.3600867679
20,1290.0,27087.486922191147
21,1300.0,24527.19275386684
22,1310.0,29883.993571011102
23,1320.0,28151.373207201716
24,1330.0,28578.052314316472
25,1340.0,25845.34749872384
26,1350.0,24989.5535813437
27,1360.0,27386.817923763178
28,1370.0,28214.28494492044
29,1380.0,26926.246376811596
30,1390.0,34127.33553771059
31,1400.0,25896.016491511728
32,1410.0,33312.36325237592
33,1420.0,26220.39987864078
34,1430.0,28759.007681879797
35,1440.0,30099.920000000002
36,1450.0,23903.3999006458
37,1460.0,24066.957496834875
38,1470.0,22892.320693391117
39,1480.0,30407.494060530942
40,1500.0,25378.732226448214
41,1510.0,22276.283898305086
42,1540.0,27131.52293577982
43,1550.0,43320.39626666667
44,1560.0,23702.833192686354
45,1570.0,27416.487270383495
46,1580.0,29351.904876871075
47,1590.0,27063.404990403073
48,1600.0,33989.27282709689
49,1630.0,44955.58313641245
50,1640.0,24663.046950240772
51,1660.0,26399.62341611759
52,1680.0,23530.56572258533
53,1700.0,33266.55535521096
54,1710.0,48590.336531627574
55,1750.0,25660.490980973558
56,1800.0,31657.977084085163
57,1851.0,26430.602150537634
58,1960.0,27343.32565379826
59,1990.0,26828.504403131115
60,2000.0,20288.720172996625
61,2100.0,20464.849689884188
62,2110.0,19101.557650052047
63,2120.0,18584.502465830636
64,2130.0,22613.68745777978
65,2140.0,19949.31701546861
66,2150.0,19271.108033240995
67,2160.0,23313.13804981452
68,2170.0,20603.395450917793
69,2190.0,26701.70200783545
70,2200.0,21841.084170900183
